"","Nome","IDHM","Gini","pop_menos15","pop_mais60","pop_preta","taxacresc_pop","Dens_demo","Urbanizacao","PIB_percap","Renda_percap","Despesas_percap_saude","Gastos_saude","pop_planosaude","medicos_1000h","prop_nascvivosnormal","taxainter_faltaatencaobasica","mortalidadeinfantil","espec_vida","perc_nascidosvivosBaixoPeso"
"23","Analândia",0.754,0.53,0.2202,0.143,0.2845,1.83,13.16,0.7938,27955.7935407412,1259.22803486498,1221.350914396,0.2771,0.106219426974144,0.47,0.369565217391304,0.01554404,0.4545,0.7666,0.0936329704510109
"596","Tapiraí",0.681,0.44,0.2854,0.1224,0.3405,-0.63,10.62,0.7149,14677.7125679565,697.68039769546,620.50706365,0.2696,0.0531702446330504,0.12,0.559633027522936,0.03563701,0.2703,0.7574,0.109707931570762
"95","Cabrália Paulista",0.694,0.4,0.2372,0.1221,0.2951,-0.62,18.2,0.8654,58272.9366856488,768.364715660854,836.229397856,0.2663,0.0788087056128293,0,0.454545454545455,0.2339604,0.1923,0.7368,0.0775580093312597
"477","Reginópolis",0.728,0.41,0.1502,0.1153,0.3298,4.4,17.76,0.5957,14665.4532192577,719.932868166047,645.3876628,0.255,0.094633346988939,0.41,0.288888888888889,0.08482142,0,0.7404,0.0631804043545879
"275","Ituverava",0.765,0.52,0.2041,0.1425,0.3227,0.65,54.84,0.9415,22114.9150662197,1409.75945275424,587.438485507,0.1596,0.365085928414524,2.61,0.298624754420432,0.2506228,0.0797,0.7547,0.0917359253499222
"210","Guareí",0.687,0.44,0.188,0.0961,0.2398,3.62,25.64,0.5776,19808.1972213839,708.152148505148,441.457224676,0.1948,0.037830415379334,0.14,0.575342465753425,0.03644008,0.0671,0.7327,0.0610836702954899
"574","Serra Azul",0.686,0.45,0.207,0.0917,0.4148,4.2,39.62,0.7122,11024.456814011,769.673684512065,554.384986515,0.2791,0.150142146410803,0,0.512,0.1066828,0.0813,0.736,0.131673716951789
"318","Macedônia",0.74,0.42,0.1825,0.1697,0.2252,-0.26,11.18,0.758,20873.7804134503,942.457572871916,893.032559673,0.1501,0.0851528384279476,0.82,0.147058823529412,0.1356315,0,0.7609,0.139461586314152
"520","Santa Cruz do Rio Pardo",0.762,0.46,0.2154,0.1451,0.2259,0.72,39.42,0.9142,33464.7045348147,1225.19484473349,594.480449024,0.2302,0.170738371166412,1.53,0.455445544554456,0.2052683,0.132,0.77,0.0782569206842924
"509","Salto de Pirapora",0.729,0.44,0.2333,0.1156,0.3027,1.38,142.86,0.784,20846.5474691083,908.42438274043,652.248676505,0.2501,0.215339380045849,0.3,0.522108843537415,0.1126302,0.25,0.7504,0.109308553654743
"613","Trabiju",0.722,0.4,0.2417,0.1303,0.4424,1.12,24.33,0.9183,24401.6831960142,769.673684512065,1465.210944368,0.1777,0.160621761658031,0,0.227272727272727,0.04975124,0,0.7363,0.0506998444790047
"356","Monte Mor",0.733,0.44,0.242,0.0917,0.4471,2.76,203.15,0.9393,36846.1435364297,1009.21498428368,640.728205141,0.1806,0.300210423093424,0.33,0.394385026737968,0.08534071,0.1523,0.7678,0.081052566096423
"283","Jambeiro",0.756,0.49,0.2298,0.1186,0.2459,2.96,28.94,0.4788,199755.290375903,1127.02218089267,799.526744322,0.1691,0.560478594129744,0.56,0.428571428571429,0.03911343,0,0.7661,0.0384189735614308
"551","São João de Iracema",0.748,0.37,0.1911,0.1563,0.4219,0.63,9.96,0.8156,32596.0701168628,827.268313965348,1281.893705661,0.1738,0.173033707865169,0.56,0.476190476190476,0.2012072,0.9524,0.7497,0.143455365474339
"485","Ribeirão dos Índios",0.721,0.38,0.1957,0.1852,0.4156,-0.15,11.14,0.8459,21276.92148044,716.005961612414,924.171006488,0.1507,0.0695016003657979,0.46,0.363636363636364,0.355924,0,0.7352,0.0958295489891135
"30","Apiaí",0.71,0.55,0.2677,0.1109,0.5377,-0.74,25.87,0.7232,18527.992491765,747.421214041478,469.097308459,0.1924,0.0612917311738319,0.48,0.506963788300836,0.1423707,0.1176,0.7507,0.0537950233281493
"367","Nipoã",0.713,0.37,0.205,0.1189,0.3836,2.71,30.94,0.8884,21089.4273331817,949.002417127971,561.562662391,0.1646,0.181796911558259,0,0.216666666666667,0.7059493,0.3333,0.7381,0.0839480559875583
"94","Buritizal",0.735,0.46,0.196,0.1526,0.2832,0.98,15.2,0.8158,101620.500848816,1213.41412507259,1237.606239174,0.2217,0.377251418702196,0.25,0.170212765957447,0.2537313,0.2174,0.7479,0.196173250388803
"554","São José da Bela Vista",0.693,0.46,0.264,0.1114,0.4239,0.41,30.34,0.8904,27864.9869013018,857.374597543201,514.289524006,0.2501,0.188436830835118,0.12,0.459459459459459,0.0674747,0.1695,0.7561,0.0938326594090202
"1","Adamantina",0.79,0.51,0.1722,0.1756,0.2381,0.09,82.15,0.9453,24906.6236025681,1404.5235773494,640.034564195,0.2206,0.184927656300855,1.95,0.125,0.4757797,0.0525,0.7613,0.0872429237947123
"4","Águas da Prata",0.781,0.52,0.1803,0.1852,0.2439,0.62,53.02,0.8927,45110.5429492937,1246.13834635287,701.165442349,0.292,0.178401898734177,0.66,0.348484848484849,0.1963209,0,0.7813,0.154338413685848
"325","Marapoama",0.752,0.4,0.1868,0.1491,0.1248,1.64,23.63,0.8353,46799.8600891799,1127.02218089267,1046.538316853,0.1952,0.112419293581466,0,0.0909090909090909,0.2443281,0,0.7614,0.0320289269051322
"114","Canas",0.704,0.43,0.2686,0.0902,0.4353,1.96,82.2,0.9283,12479.278097052,691.135553439405,533.078146152,0.1803,0.0836944127708096,0.23,0.0983606557377049,0.096782,0.1266,0.7283,0.103218040435459
"577","Sertãozinho",0.761,0.46,0.2144,0.1018,0.4154,1.52,272.88,0.9882,65382.1676781321,1418.92223471272,707.905822846,0.2349,0.520068317677199,1.24,0.381660470879802,0.1053384,0.1375,0.7631,0.0888404354587869
"644","Chavantes",0.729,0.47,0.2291,0.134,0.3123,-0.06,64.41,0.9195,31778.6595704114,1014.45085968852,467.75526402,0.2181,0.144708601617963,0.74,0.231182795698925,0.472067,0.2116,0.7466,0.127580093312597
"444","Platina",0.719,0.49,0.2418,0.1311,0.3067,1.07,9.76,0.7874,29904.5172927622,911.042320442852,937.350184462,0.2175,0.12374686716792,0,0.470588235294118,0.1578781,0.1923,0.7441,0.115998133748056
"117","Canitar",0.68,0.4,0.2908,0.0926,0.403,2.31,76.2,0.947,12972.743270691,765.746777958432,588.252759661,0.1882,0.131380178530556,0,0.492537313432836,0.09308176,0.2985,0.7246,0.134868740279938
"91","Brotas",0.74,0.41,0.2217,0.131,0.2888,1.36,19.57,0.8618,27581.2123832663,1075.97239569544,589.866228818,0.2242,0.155977757182576,0.74,0.57439446366782,0.1222871,0.2405,0.739,0.0968279937791602
"225","Ibitinga",0.747,0.43,0.1978,0.1265,0.231,1.33,77.04,0.9605,22896.3919989574,1147.96568251204,437.913624191,0.2017,0.203205538206855,1.15,0.230113636363636,0.0987027,0.2539,0.7576,0.0993241057542768
"148","Cruzália",0.774,0.43,0.188,0.1449,0.2572,-1.36,15.28,0.664,43909.0815393614,894.025725377109,1227.563524608,0.1897,0.0514511873350923,0,0.296296296296296,0.08057297,0.3704,0.7618,0.111704821150855
"387","Orlândia",0.78,0.5,0.2078,0.1174,0.3892,1.01,136.23,0.9742,35073.4085404527,1379.65316917639,569.358583458,0.1808,0.569819763203539,1.58,0.225225225225225,0.4714918,0.1818,0.7789,0.123286780715397
"607","Teodoro Sampaio",0.741,0.47,0.2466,0.1051,0.5437,0.67,13.74,0.812,19011.4451100092,947.69344827676,741.833912596,0.2223,0.162442719536145,0.56,0.345394736842105,0.3941701,0.1701,0.7638,0.0618824261275272
"207","Guararapes",0.763,0.43,0.1957,0.1464,0.4067,0.59,31.98,0.9255,33858.3758957984,1090.37105305876,488.338305135,0.2385,0.125600549073439,0.88,0.376168224299065,0.2361057,0.1176,0.7539,0.0782569206842924
"368","Nova Aliança",0.738,0.38,0.1995,0.1637,0.1845,2.13,27.06,0.8286,25670.865067209,972.563856449769,899.426119697,0.2726,0.159056187404515,0.17,0.173913043478261,0.1510516,0.303,0.7456,0.121789113530327
"579","Severínia",0.715,0.41,0.2358,0.0987,0.4498,1.33,110.26,0.9531,23295.1751916864,1000.0522023252,558.742861154,0.2205,0.235984775175795,0.26,0.293532338308458,0.1107071,0.1415,0.7342,0.0714674961119751
"227","Icém",0.72,0.45,0.22,0.1145,0.4317,0.98,20.56,0.8582,23198.2313383227,1044.55714326637,936.777176724,0.2447,0.219244170463683,0.54,0.216216216216216,0.08675799,0.1786,0.7334,0.170113841368585
"170","Emilianópolis",0.727,0.38,0.1885,0.1676,0.4001,0.43,13.45,0.8268,17728.3150253503,861.301504096834,670.192866195,0.1509,0.113576158940397,0.66,0.346153846153846,0.3555086,0,0.7328,0.000777604976671851
"380","Nuporanga",0.746,0.45,0.2039,0.1325,0.2316,0.78,19.56,0.9072,36427.0185707675,1113.93249238056,756.67179718,0.1909,0.356168402523104,0.29,0.261904761904762,0.09218907,0.122,0.7694,0.0623816485225505
"600","Taquarituba",0.701,0.48,0.2272,0.1206,0.2618,0.15,49.7,0.8783,20810.6741719933,934.60375976465,447.172222905,0.2237,0.0422592077520075,0.49,0.548484848484848,0.2421843,0.1187,0.7365,0.113402177293935
