"","Nome","IDHM","Gini","pop_menos15","pop_mais60","pop_preta","taxacresc_pop","Dens_demo","Urbanizacao","PIB_percap","Renda_percap","Despesas_percap_saude","Gastos_saude","pop_planosaude","medicos_1000h","prop_nascvivosnormal","taxainter_faltaatencaobasica","mortalidadeinfantil","espec_vida","perc_nascidosvivosBaixoPeso"
"496","Riolândia",0.703,0.4,0.2079,0.1084,0.4904,2.13,16.67,0.7911,17118.6650033419,717.314930463625,598.898640267,0.2412,0.15177304964539,0.38,0.258992805755396,0.1663512,0.274,0.7404,0.0622818040435459
"319","Magda",0.753,0.44,0.1721,0.1821,0.2565,-0.67,10.27,0.8298,23099.3724329483,1053.71992522485,983.00985369,0.2256,0.1578125,0,0.282608695652174,0.4509663,0,0.7438,0.130974805598756
"470","Queiroz",0.715,0.42,0.2616,0.1146,0.5629,2.59,11.99,0.8494,124418.049021548,767.055746809643,1109.780276147,0.1529,0.0220797720797721,0,0.484848484848485,0.2503629,0,0.7365,0.0594861586314152
"394","Pacaembu",0.725,0.45,0.1525,0.1553,0.4038,0.55,39.05,0.7368,14324.0763494025,823.341407411716,493.812036948,0.2056,0.0567820958717677,0.54,0.155172413793103,0.4885994,0.0847,0.756,0.0684721617418352
"407","Pariquera-Açu",0.736,0.47,0.2473,0.1264,0.3956,0.47,51.32,0.6864,15753.7606899085,842.97594017988,442.527844397,0.2007,0.0623441396508728,2.6,0.732441471571906,0.1950585,0.1365,0.767,0.0978264385692068
"140","Coroados",0.719,0.39,0.2068,0.1267,0.2837,1.72,21.23,0.8098,24658.3454029053,959.474167937659,761.662996161,0.2413,0.124856815578465,0,0.195652173913043,0.0476096,0.4255,0.7396,0.156135614307932
"611","Torre de Pedra",0.714,0.39,0.2162,0.174,0.1481,0.55,31.58,0.6516,11476.0924264071,811.560687750816,605.548545858,0.1983,0.0634427684117125,0,0.55,0.1177579,0,0.7473,0.200466562986003
"412","Paulistânia",0.718,0.43,0.2226,0.1417,0.2296,0.01,6.93,0.6813,25155.3692558714,842.97594017988,1458.953096703,0.2118,0.0281056773468241,0,0.615384615384615,0.08625647,0,0.7404,0.000777604976671851
"301","Lavrinhas",0.729,0.55,0.263,0.0878,0.2998,0.94,39.41,0.9178,17181.7410864995,744.803276339056,685.241858893,0.226,0.125796661608498,0.3,0.4375,0.1281601,0.087,0.7438,0.0528964230171073
"63","Barretos",0.789,0.48,0.1968,0.1376,0.3473,0.76,71.56,0.9695,26816.699493931,1350.85585444975,686.267241161,0.213,0.255359006610111,3.37,0.122944960686204,0.2352823,0.0717,0.775,0.103417729393468
"274","Itupeva",0.762,0.43,0.2398,0.0779,0.3518,5.53,222.38,0.8684,74126.7022963082,1277.55359878193,774.359641303,0.2095,0.479435564769611,0.43,0.496798975672215,0.1120009,0.1142,0.7563,0.085845101088647
"585","Suzano",0.765,0.47,0.249,0.087,0.4534,1.41,1271.48,0.9648,33127.1125315319,980.417669557035,459.491889272,0.1909,0.301051508686376,0.91,0.452103636795816,0.05830439,0.1118,0.7736,0.0830494556765163
"261","Itápolis",0.744,0.45,0.1905,0.1486,0.1903,0.6,40.16,0.907,30677.6554557208,1166.291246429,599.54704376,0.2543,0.142468352850116,1.22,0.181236673773987,0.2466551,0.1101,0.7514,0.0997234836702955
"89","Brejo Alegre",0.71,0.39,0.219,0.1303,0.4882,1.09,24.39,0.8199,92144.8988953189,943.766541723127,1304.3465615,0.249,0.0893898173338515,0,0.291666666666667,0.1213782,0,0.7454,0.0424127527216174
"420","Pedro de Toledo",0.696,0.47,0.269,0.1363,0.4784,1.06,15.21,0.6893,12785.5054689775,729.095650124524,738.712528339,0.2914,0.0715405723245786,0,0.674418604651163,0.05166052,0.0769,0.7371,0.0469057542768274
"519","Santa Cruz das Palmeiras",0.728,0.51,0.2251,0.1091,0.411,1.6,101.22,0.9689,15571.3180577967,1246.13834635287,402.960152173,0.2823,0.381431244153414,0.53,0.539906103286385,0.1256431,0.0472,0.7387,0.0761601866251944
"538","Santo Antonio do Aracanguá",0.757,0.41,0.2102,0.1154,0.4812,0.95,5.82,0.7829,49634.6949936447,981.726638408246,1200.798031583,0.2175,0.0402570154733805,0,0.165289256198347,0.07634593,0.2521,0.7541,0.086144634525661
"242","Ipeúna",0.753,0.46,0.2428,0.1072,0.3641,3.34,31.58,0.8607,36501.2532246964,1197.70649885806,1104.517652448,0.2904,0.304022606382979,0.5,0.350649350649351,0.0272745,0.1282,0.757,0.0785564541213064
"102","Caieiras",0.781,0.47,0.2401,0.0798,0.3976,2.01,898.95,0.9752,33044.6597410213,1212.10515622138,356.048913412,0.154,0.390828508361359,0.49,0.444362017804154,0.06534327,0.1385,0.7668,0.084646967340591
"186","Franca",0.78,0.46,0.2214,0.1142,0.3015,1.04,525.64,0.9824,23865.8456117434,1271.00875452588,400.894308486,0.2796,0.357739141350741,1.78,0.416777335104028,0.09551283,0.1105,0.755,0.0896391912908243
"51","Avanhandava",0.705,0.42,0.2189,0.0975,0.4529,2.5,33.33,0.8456,19722.9547881805,763.12884025601,545.427970821,0.1911,0.0821396993810787,0.71,0.300653594771242,0.1343369,0.0629,0.74,0.0887405909797823
"599","Taquaritinga",0.748,0.46,0.2095,0.1386,0.3238,0.37,90.93,0.9478,21757.0566857521,1098.22486616602,547.131914884,0.2829,0.277580203008076,1.3,0.289833080424886,0.270684,0.1084,0.7461,0.0749620528771384
"351","Monte Alto",0.768,0.42,0.1853,0.1458,0.237,0.68,134.53,0.955,32813.5566928566,1217.34103162622,580.260809631,0.1973,0.497834569701128,1.37,0.0964083175803403,0.1777844,0.0378,0.7656,0.0745626749611197
"14","Alumínio",0.766,0.42,0.25,0.09,0.421,1,201.11,0.8387,160488.204435728,1180.68990379232,994.862066376,0.2058,0.450026723677178,0.18,0.29045643153527,0.1577439,0.0413,0.7547,0.0708684292379471
"157","Dois Córregos",0.725,0.46,0.2225,0.1356,0.261,0.96,39.09,0.9469,29467.1163976745,1096.91589731481,472.88217536,0.2397,0.130689390573886,1.05,0.5025,0.3505227,0.0976,0.7617,0.0790556765163297
"536","Santo Antonio da Alegria",0.702,0.42,0.2042,0.1559,0.2614,0.9,20.3,0.7406,24227.4888587835,862.610472948045,729.800750098,0.2211,0.0466370558375634,0.32,0.453125,0.2070222,0.1563,0.748,0.113502021772939
"354","Monte Castelo",0.741,0.38,0.1843,0.1804,0.3655,-0.08,17.47,0.7903,25709.6335610646,934.60375976465,718.838207321,0.1922,0.161949298547871,0,0.166666666666667,0.2695144,0.2632,0.7381,0.105913841368585
"503","Sales",0.751,0.42,0.2045,0.1574,0.2585,1.8,17.65,0.9002,18634.6925549788,985.653544961879,840.104739663,0.255,0.0636580443955237,0.18,0.168831168831169,0.267603,0,0.7656,0.0387185069984448
"119","Capela do Alto",0.699,0.4,0.2501,0.1048,0.2484,2.11,103.02,0.8283,16087.0551355294,816.796563155661,479.06462727,0.2424,0.0918891170431212,0.11,0.454166666666667,0.060399,0.0787,0.7436,0.0754612752721617
"198","Guaimbê",0.728,0.4,0.2336,0.1396,0.4979,0.41,24.88,0.8737,18793.3402888781,811.560687750816,805.588563024,0.2136,0.16073732718894,0.37,0.380281690140845,0.1131626,0,0.7477,0.130974805598756
"525","Santa Lucia",0.737,0.39,0.2383,0.0971,0.4087,0.51,53.53,0.9401,15595.8819926434,926.749946657384,522.628294509,0.2632,0.478782735208535,0.24,0.248062015503876,0.06697924,0,0.741,0.0395172628304821
"425","Piacatu",0.732,0.4,0.2009,0.1517,0.365,1.34,22.73,0.882,18349.5307551717,823.341407411716,771.690631576,0.2439,0.63154908265557,0,0.283333333333333,0.1449275,0,0.7557,0.100622083981337
"82","Borá",0.746,0.4,0.1963,0.1068,0.4617,0.13,6.8,0.7789,61140.5536615419,977.799731854613,2502.023208826,0.1793,0.162732919254658,0,0.2,0.1945525,0,0.7677,0.000777604976671851
"434","Piracicaba",0.785,0.52,0.204,0.125,0.2671,1.03,264.24,0.9785,45251.6837904018,1665.00837874039,686.779932295,0.189,0.518623258569661,2.13,0.353462837837838,0.09232235,0.1035,0.7588,0.0919356143079316
"530","Santa Rita d'Oeste",0.761,0.39,0.1525,0.2123,0.2212,-0.6,12.11,0.6973,27173.0499594295,958.165199086448,1044.562948072,0.1822,0.0503342508847818,0,0.166666666666667,0.1319149,0,0.7531,0.000777604976671851
"146","Cravinhos",0.756,0.42,0.2219,0.1138,0.3236,1.11,101.68,0.9751,24828.6191612164,1171.52712183384,478.114640757,0.2,0.429017702186741,0.51,0.47255369928401,0.2031309,0,0.7644,0.0931337480559876
"304","Limeira",0.775,0.48,0.206,0.1164,0.2737,1.04,474.91,0.9702,36701.2479870485,1325.98544627674,530.725798596,0.1585,0.460608212388868,1.77,0.431098430813124,0.07762172,0.123,0.7611,0.0994239502332815
"446","Poloni",0.766,0.39,0.1814,0.182,0.2288,1.23,40.36,0.8902,22732.76814566,1155.81949561931,594.1185494,0.1978,0.24578313253012,0.37,0.285714285714286,0.4975124,0,0.7618,0.0324283048211509
"393","Ouro Verde",0.692,0.39,0.2266,0.1388,0.5031,0.87,29.12,0.9199,18401.1768428635,760.510902553588,453.58086208,0.1886,0.0884615384615385,0,0.281553398058252,0.1632325,0.101,0.7381,0.082250699844479
